      时间,    开盘,    最高,    最低,    收盘,         成交量,   MA.MA1   ,   MA.MA2   ,   MA.MA3   ,   MA.MA4   ,  VOL.VOLUME,  VOL.MAVOL1,  VOL.MAVOL2, MACD.DIF   , MACD.DEA   , MACD.MACD  
 2016/08/05-10:30,2980.67,2986.85,2977.56,2983.59,2215020,2979.6,2975,2974.4,2979.3,2215020,2198118.5,2093568,2.6,0.93,3.34
 2016/08/05-11:00,2983.94,2983.94,2976.86,2976.86,1622641,2979.8,2975.9,2975.05,2978.25,1622641,2252390.5,1935667.25,2.45,1.24,2.43
 2016/08/05-11:30,2976.85,2979.45,2973.97,2979.38,1422487,2980.4,2977.2,2975.45,2977.05,1422487,2233139.25,1850368,2.51,1.49,2.03
 2016/08/05-13:30,2979.43,2982.36,2977.02,2981.93,1221935,2980.4,2978.5,2975.85,2975.95,1221935,1974272,1787289.63,2.72,1.74,1.97
 2016/08/05-14:00,2982.06,2991.62,2981.94,2984.88,1951821,2981.4,2979.7,2976.45,2974.82,1951821,1686937.63,1846374.38,3.1,2.01,2.18
 2016/08/05-14:30,2985.33,2985.8,2975.05,2976.98,1866052,2980,2979.8,2976.65,2973.67,1866052,1616896,1907507.25,2.73,2.15,1.15
 2016/08/05-15:00,2977.09,2982.6,2975.67,2976.7,2490633,2979.8,2979.8,2976.45,2973.27,2490633,1790566.38,2021478.38,2.38,2.2,0.37
 2016/08/08-10:00,2972.62,2973.06,2959.05,2970.48,3814919,2978.2,2979.3,2976.25,2973.2,3814919,2269184,2251161.5,1.59,2.08,-0.98
 2016/08/08-10:30,2970.63,2975.62,2969.47,2975.62,2332570,2977,2978.7,2976.3,2973.27,2332570,2491187.25,2232729.5,1.36,1.93,-1.15
 2016/08/08-11:00,2975.82,2986.98,2975.79,2983.69,1801793,2976.6,2979,2976.7,2973.5,1801793,2461081.5,2074009.63,1.81,1.91,-0.2
 2016/08/08-11:30,2983.9,2987,2981.73,2984.44,1332676,2978.2,2979.1,2977.05,2973.38,1332676,2354585.5,1985740.75,2.2,1.97,0.46
 2016/08/08-13:30,2984.77,2990.86,2983.95,2990.07,1299204,2981,2980.4,2978.15,2973.45,1299204,2116198.5,1953382.38,2.93,2.16,1.54
 2016/08/08-14:00,2989.55,2993.02,2987.08,2992.94,1546296,2985.4,2981.8,2979.5,2973.35,1546296,1662361.63,1965772.75,3.7,2.47,2.46
 2016/08/08-14:30,2992.7,2997.66,2990.68,2991.17,1839383,2988.4,2982.7,2980.6,2973.35,1839383,1563852.75,2027520,4.11,2.8,2.64
 2016/08/08-15:00,2991.57,3004.72,2991.04,3004.28,3242119,2992.6,2984.6,2982.15,2973.85,3242119,1852006.38,2156544,5.44,3.33,4.23
 2016/08/09-10:00,3001.31,3007.33,2998.75,3002.06,3830058,2996,2987.1,2983.45,2974.15,3830058,2351308.75,2352947.25,6.24,3.91,4.67
 2016/08/09-10:30,3001.85,3007.8,3001.73,3002.77,2165775,2998.6,2989.8,2984.8,2974.5,2165775,2524774.5,2320486.5,6.85,4.5,4.71
 2016/08/09-11:00,3002.4,3011.41,3002.4,3009.02,1939229,3001.8,2993.6,2986.45,2974.82,1939229,2603417.5,2132889.5,7.75,5.15,5.21
 2016/08/09-11:30,3008.62,3012.89,3007.77,3012.89,1529579,3006.2,2997.3,2988,2975.12,1529579,2541363.25,2052608,8.68,5.85,5.65
 2016/08/09-13:30,3012.84,3020.97,3012.5,3018.78,1735494,3009.2,3000.9,2989.95,2975.55,1735494,2240102.5,2046054.38,9.78,6.64,6.27
 2016/08/09-14:00,3018.76,3024.62,3017.66,3019.32,2226919,3012.6,3004.3,2991.7,2975.97,2226919,1919385.63,2135347.25,10.57,7.42,6.28
 2016/08/09-14:30,3019.82,3020.96,3014.19,3017.73,2081228,3015.6,3007.1,2993.75,2976.53,2081228,1902592,2213683.25,10.94,8.13,5.62
 2016/08/09-15:00,3018.84,3025.91,3016.77,3025.68,3263399,3018.8,3010.3,2996.05,2977.08,3263399,2167398.5,2385408,11.74,8.85,5.78
 2016/08/10-10:00,3023.47,3029.89,3021.93,3023.04,3766762,3020.8,3013.5,2998.1,2977.6,3766762,2614681.5,2578022.5,12.02,9.48,5.08
 2016/08/10-10:30,3022.85,3028.74,3018.33,3027.95,2562821,3022.6,3015.9,3000.25,2978.2,2562821,2780160,2510131.25,12.5,10.09,4.82
 2016/08/10-11:00,3028.24,3033.05,3024.87,3031.7,2012123,3025.2,3018.9,3003,2979.07,2012123,2737356.75,2328371.25,13.03,10.68,4.71
 2016/08/10-11:30,3031.46,3032.14,3022.19,3022.6,1925863,3026.2,3020.9,3005.35,2979.8,1925863,2706227.25,2304409.5,12.57,11.05,3.03
 2016/08/10-13:30,3022.76,3028.37,3021.89,3027.3,1707767,3026.6,3022.7,3008.15,2980.98,1707767,2394931.25,2281164.75,12.44,11.33,2.22
 2016/08/10-14:00,3027.19,3027.79,3018.62,3018.62,1869947,3025.8,3023.3,3010.3,2982.13,1869947,2015641.63,2315161.5,11.51,11.37,0.28
 2016/08/10-14:30,3018.59,3021.84,3017.11,3020.72,1734441,3024.2,3023.4,3012.15,2983.27,1734441,1849958.38,2315059.25,10.81,11.26,-0.89
 2016/08/10-15:00,3021.09,3025.28,3017.75,3018.75,2872790,3021.6,3023.4,3013.85,2984.55,2872790,2022195.25,2379776,9.99,11,-2.03
 2016/08/11-10:00,3013.68,3037.92,3013.12,3030.9,4067680,3023.2,3024.7,3015.9,2986.02,4067680,2450432,2578329.5,10.2,10.84,-1.29
 2016/08/11-10:30,3031.04,3031.04,3011.85,3015.74,3090610,3021,3023.8,3017.05,2987.17,3090610,2727116.75,2561024,9.03,10.48,-2.89
 2016/08/11-11:00,3014.73,3021.69,3014.59,3021.11,1614879,3021.4,3023.6,3018.55,2988.32,1614879,2676121.5,2345881.5,8.45,10.07,-3.25
 2016/08/11-11:30,3021.46,3026.02,3020.11,3021.44,1287435,3021.6,3022.9,3019.4,2989.43,1287435,2586624,2218291.25,7.92,9.64,-3.45
 2016/08/11-13:30,3020.78,3025.3,3020.2,3020.32,1104343,3022,3021.8,3020.35,2990.55,1104343,2232934.5,2127564.75,7.33,9.18,-3.71
 2016/08/11-14:00,3020.68,3029.14,3016.01,3027.41,1700483,3021.2,3022.2,3021.55,2991.82,1700483,1759641.63,2105036.75,7.34,8.81,-2.94
 2016/08/11-14:30,3027.54,3028.07,3011.35,3011.95,1863900,3020.4,3020.7,3021.7,2992.72,1863900,1514291.25,2120704,6.04,8.26,-4.44
 2016/08/11-15:00,3012.03,3015.53,3001.18,3002.64,3256817,3016.8,3019.1,3021.2,2993.53,3256817,1842585.63,2259353.5,4.21,7.45,-6.48
 2016/08/12-10:00,3000.27,3010.9,2999.31,3009.09,2750427,3014.4,3018,3020.7,2994.5,2750427,2135244.75,2360934.5,3.24,6.61,-6.74
